,distances,group 1
0,0.0,0.008719361810456731
1,1.0,0.007885231811304384
2,2.0,0.0019825833069710983
3,3.0,0.0015717814204138437
4,4.0,0.0018958045541753626
5,5.0,0.002374998961207902
6,6.0,0.0018510508420864263
7,7.0,0.0018053043217629437
8,8.0,0.002191143729490781
9,9.0,0.0029554216914194666
10,10.0,0.0027166830010953024
11,11.0,0.00284046646474395
12,12.0,0.002215992079695022
13,13.0,0.0025339597480527496
14,14.0,0.002438041176056701
15,15.0,0.0027812494425149075
16,16.0,0.0034622254749495976
17,17.0,0.003604795618347229
18,18.0,0.00314842870922187
19,19.0,0.004322623008220031
20,20.0,0.004457162928584844
21,21.0,0.005161961040033108
22,22.0,0.008211029368176175
23,23.0,0.00730033390933201
24,24.0,0.007592425626640946
25,25.0,0.010194382101529047
26,26.0,0.013972749851660488
27,27.0,0.019838613702858922
28,28.0,0.024448327821733305
29,29.0,0.03635534601195248
30,30.0,0.04531142920618001
31,31.0,0.05895068302658033
32,32.0,0.045491667336110465
33,33.0,0.0677466577210508
34,34.0,0.06713645606241839
35,35.0,0.06714183384755851
36,36.0,0.062078659221343604
37,37.0,0.07815169245548845
38,38.0,0.11000245276820088
39,39.0,0.08902197286287224
40,40.0,0.052542868872303916
41,41.0,0.028548733975593096
42,42.0,0.01614003227734807
43,43.0,0.00832666426959619
44,44.0,0.0025787165626674187
45,45.0,0.0
46,46.0,0.0
47,47.0,0.0
48,48.0,0.0
49,49.0,0.0
50,50.0,0.0
51,51.0,0.0
52,52.0,0.0
53,53.0,0.0
54,54.0,0.0
55,55.0,0.0
56,56.0,0.0
