,distances,group 1
0,0.0,0.033159526341497124
1,1.0,0.025760622430195723
2,2.0,0.004743604795034637
3,3.0,0.0038372693674772057
4,4.0,0.007489057940023885
5,5.0,0.011739356232526388
6,6.0,0.010743562781075697
7,7.0,0.013342146487877453
8,8.0,0.01377079297912395
9,9.0,0.0068750360851023125
10,10.0,0.007285536773906636
11,11.0,0.010256269030969175
12,12.0,0.012628693710708527
13,13.0,0.01519125322222623
14,14.0,0.01453625613083411
15,15.0,0.021474348562336494
16,16.0,0.015200483345494922
17,17.0,0.019442039827911883
18,18.0,0.05347309659920784
19,19.0,0.013149330689889023
20,20.0,0.010660198895138575
21,21.0,0.010042736651881188
22,22.0,0.01954116898952333
23,23.0,0.012841600900948392
24,24.0,0.017751271814063656
25,25.0,0.026022462670663542
26,26.0,0.04403467922012051
27,27.0,0.10622312371670807
28,28.0,0.1014442771372851
29,29.0,0.07730235239855446
30,30.0,0.041843983937984226
31,31.0,0.03793310690716091
32,32.0,0.03257656680688495
33,33.0,0.023429510419792115
34,34.0,0.03500735495308243
35,35.0,0.04727530201496569
36,36.0,0.02441260297218372
37,37.0,0.015025952075284786
38,38.0,0.0007028805853627859
39,39.0,0.001830583598992352
40,40.0,0.0
41,41.0,0.0
42,42.0,0.0
43,43.0,0.0
44,44.0,0.0
45,45.0,0.0
46,46.0,0.0
47,47.0,0.0
48,48.0,0.0
49,49.0,0.0
50,50.0,0.0
51,51.0,0.0
52,52.0,0.0
53,53.0,0.0
54,54.0,0.0
55,55.0,0.0
56,56.0,0.0
